player
Nikola Jokić
DEN
Joel Embiid
PHI
Giannis Antetokounmpo
MIL
Devin Booker
PHO
Luka Dončić
DAL
Jayson Tatum
BOS
Ja Morant
MEM
Stephen Curry
GSW
Chris Paul
PHO
DeMar DeRozan
CHI
Kevin Durant
BRK
LeBron James
LAL
Scottie Barnes
TOR
Evan Mobley
CLE
Cade Cunningham
DET
Jalen Green
HOU
Franz Wagner
ORL
Herbert Jones
NOP
Giannis Antetokounmpo
MIL
Luka Dončić
DAL
Nikola Jokić
DEN
Devin Booker
PHO
Jayson Tatum
BOS
Joel Embiid
PHI
Ja Morant
MEM
Kevin Durant
BRK
Stephen Curry
GSW
DeMar DeRozan
CHI
Karl-Anthony Towns
MIN
LeBron James
LAL
Chris Paul
PHO
Trae Young
ATL
Pascal Siakam
TOR
Rudy Gobert
UTA
Jimmy Butler
MIA
Bam Adebayo
MIA
Donovan Mitchell
UTA
Jaylen Brown
BOS
Desmond Bane
MEM
Mikal Bridges
PHO
Jrue Holiday
MIL
Kyrie Irving
BRK
Khris Middleton
MIL
Dejounte Murray
SAS
Fred VanVleet
TOR
Michael Jordan
CHI
Magic Johnson
LAL
David Robinson
SAS
Charles Barkley
PHI
Karl Malone
UTA
Clyde Drexler
POR
Kevin Johnson
PHO
Dominique Wilkins
ATL
Larry Bird
BOS
Terry Porter
POR
Patrick Ewing
NYK
John Stockton
UTA
Isiah Thomas
DET
Robert Parish
BOS
Joe Dumars
DET
Bernard King
WSB
Kenny Smith
HOU
Hakeem Olajuwon
HOU
Tim Hardaway
GSW
Kevin McHale
BOS
Derrick Coleman
NJN
Lionel Simmons
SAC
Dennis Scott
ORL
Dee Brown
BOS
Michael Jordan
CHI
Magic Johnson
LAL
Karl Malone
UTA
David Robinson
SAS
Charles Barkley
PHI
Patrick Ewing
NYK
Dominique Wilkins
ATL
Kevin Johnson
PHO
Clyde Drexler
POR
Chris Mullin
GSW
John Stockton
UTA
James Worthy
LAL
Bernard King
WSB
Hakeem Olajuwon
HOU
Joe Dumars
DET
Larry Bird
BOS
Tim Hardaway
GSW
Robert Parish
BOS
Terry Porter
POR
Otis Thorpe
HOU
Scottie Pippen
CHI
Mitch Richmond
GSW
Buck Williams
POR
Brad Daugherty
CLE
Dennis Rodman
DET
Reggie Miller
IND
Kevin McHale
BOS
Michael Adams
DEN
Lionel Simmons
SAC
Hersey Hawkins
PHI
Isiah Thomas
DET
Tom Chambers
PHO
Alvin Robertson
MIL
Charles Smith
LAC
Kenny Smith
HOU
Horace Grant
CHI
Larry Nance
CLE
Derrick Coleman
NJN
Kevin Duckworth
POR
Derek Harper
DAL
Jeff Hornacek
PHO
Jerome Kersey
POR
Michael Jordan
CHI
David Robinson
SAS
Anfernee Hardaway
ORL
Hakeem Olajuwon
HOU
Scottie Pippen
CHI
Gary Payton
SEA
Karl Malone
UTA
Shawn Kemp
SEA
Grant Hill
DET
Shaquille O'Neal
ORL
John Stockton
UTA
Charles Barkley
PHO
Magic Johnson
LAL
Alonzo Mourning
MIA
Dennis Rodman
CHI
Terrell Brandon
CLE
Mitch Richmond
SAC
Damon Stoudamire
TOR
Arvydas Sabonis
POR
Joe Smith
GSW
Michael Finley
PHO
Hakeem Olajuwon
HOU
David Robinson
SAS
Scottie Pippen
CHI
Shaquille O'Neal
ORL
Patrick Ewing
NYK
Gary Payton
SEA
Shawn Kemp
SEA
Karl Malone
UTA
Mark Price
CLE
Charles Barkley
PHO
Mookie Blaylock
ATL
Jerry Stackhouse
PHI
Kevin Garnett
MIN
Michael Jordan
CHI
Scottie Pippen
CHI
Anfernee Hardaway
ORL
Karl Malone
UTA
David Robinson
SAS
Hakeem Olajuwon
HOU
Shawn Kemp
SEA
Gary Payton
SEA
Grant Hill
DET
John Stockton
UTA
Charles Barkley
PHO
Shaquille O'Neal
ORL
Mitch Richmond
SAC
Reggie Miller
IND
Juwan Howard
WSB
Dennis Rodman
CHI
Jason Kidd
DAL
Rod Strickland
POR
Sean Elliott
SAS
Terrell Brandon
CLE
Vin Baker
MIL
Clyde Drexler
HOU
Glen Rice
CHH
Detlef Schrempf
SEA
Alonzo Mourning
MIA
Magic Johnson
LAL
Patrick Ewing
NYK
Horace Grant
ORL
Allan Houston
DET
Dennis Scott
ORL
Latrell Sprewell
GSW
Larry Johnson
CHH
Mookie Blaylock
ATL
Elden Campbell
LAL
Cedric Ceballos
LAL
Avery Johnson
SAS
Kevin Johnson
PHO
Dikembe Mutombo
DEN
Bobby Phills
CLE
Clifford Robinson
POR
Damon Stoudamire
TOR
Nick Van Exel
LAL
Clarence Weatherspoon
PHI
Kevin Johnson
PHO
Dennis Rodman
SAS
Latrell Sprewell
GSW
John Stockton
UTA
Dominique Wilkins
TOT
Kevin Willis
ATL
Chris Webber
GSW
Anfernee Hardaway
ORL
Jamal Mashburn
DAL
Scottie Pippen
CHI
Hakeem Olajuwon
HOU
Karl Malone
UTA
John Stockton
UTA
Latrell Sprewell
GSW
David Robinson
SAS
Shawn Kemp
SEA
Charles Barkley
PHO
Mitch Richmond
